Date,Open,High,Low,Close,Adj Close,Volume
2002-12-17,421.600006,432.100006,415.751007,421.000000,224.816101,62171168
2002-12-18,419.500000,424.000000,412.000000,413.000000,220.544189,58666364
2002-12-19,414.500000,420.500000,408.500000,413.000000,220.544189,51129608
2002-12-20,414.000000,421.000000,412.000000,416.500000,222.413010,48465912
2002-12-23,418.000000,428.000000,418.000000,426.000000,227.486145,25730808
2002-12-24,426.000000,437.000000,425.500000,429.000000,229.088196,6995472
2002-12-25,429.000000,429.000000,429.000000,429.000000,229.088196,0
2002-12-26,429.000000,429.000000,429.000000,429.000000,229.088196,0
2002-12-27,422.000000,423.500000,412.000000,415.000000,221.612091,19958904
2002-12-30,413.000000,430.000000,412.000000,424.000000,226.418167,20970166
2002-12-31,427.000000,433.000000,417.000000,427.000000,228.020096,23249782
2003-01-01,427.000000,427.000000,427.000000,427.000000,228.020096,0
2003-01-02,423.500000,431.000000,420.500000,428.000000,228.554199,44828176
2003-01-03,430.000000,430.750000,423.000000,427.000000,228.020096,25364000
2003-01-06,428.299988,431.000000,418.500000,429.000000,229.088196,60821420
2003-01-07,431.500000,432.000000,426.299988,429.000000,229.088196,16082964
2003-01-08,421.500000,421.500000,416.500000,418.500000,223.481125,56014256
2003-01-09,416.000000,420.250000,410.100006,420.250000,224.415649,38453872
2003-01-10,420.000000,427.000000,416.299988,424.000000,226.418167,54676448
2003-01-13,422.500000,428.250000,413.500000,416.000000,222.146027,46949400
2003-01-14,417.000000,422.799988,401.500000,410.500000,219.209030,115784544
2003-01-15,411.000000,412.500000,405.250000,405.750000,216.672638,79953104
2003-01-16,405.299988,411.799988,405.000000,408.750000,218.274643,60944688
2003-01-17,408.500000,410.500000,403.250000,403.500000,215.471115,0
2003-01-20,403.500000,405.000000,395.000000,395.000000,210.932007,61110968
2003-01-21,397.500000,399.000000,387.000000,388.750000,207.594482,52665180
2003-01-22,389.000000,394.000000,373.000000,379.750000,202.788452,86297664
2003-01-23,383.500000,386.000000,370.299988,374.000000,199.717896,76069112
2003-01-24,375.799988,378.250000,364.500000,369.000000,197.047882,92162968
2003-01-27,368.799988,368.750000,348.600006,356.500000,190.372742,125338240
2003-01-28,360.500000,365.500000,353.000000,362.500000,193.576813,103858528
2003-01-29,364.500000,383.500000,360.299988,383.000000,204.523926,148900880
2003-01-30,386.250000,388.549988,373.000000,382.500000,204.256927,105070560
2003-01-31,374.000000,382.600006,373.100006,382.000000,203.989868,76609392
2003-02-03,389.000000,393.500000,387.250000,393.500000,210.130966,0
2003-02-04,390.000000,395.500000,386.500000,386.500000,206.392960,81418296
2003-02-05,389.799988,397.500000,384.000000,397.500000,212.266998,67151400
2003-02-06,394.500000,398.500000,377.500000,382.500000,204.256927,106029616
2003-02-07,381.299988,387.799988,376.750000,379.000000,202.387955,48343972
2003-02-10,379.000000,385.750000,375.000000,379.500000,202.654938,57996312
2003-02-11,388.000000,396.000000,384.000000,393.500000,210.130966,100591664
2003-02-12,392.000000,392.500000,382.000000,385.000000,205.591965,0
2003-02-13,384.000000,387.000000,375.000000,381.000000,203.455856,93381024
2003-02-14,387.000000,397.500000,385.299988,388.000000,207.193985,63955652
2003-02-17,396.799988,398.000000,388.000000,395.500000,211.199066,46539808
2003-02-18,395.799988,406.250000,392.500000,404.000000,215.738083,65972708
2003-02-19,404.000000,408.600006,392.399994,393.250000,209.997467,69435008
2003-02-20,393.750000,406.750000,392.000000,400.500000,213.869003,74828048
2003-02-21,398.299988,414.500000,398.299988,413.500000,220.811142,55632500
2003-02-24,415.500000,418.250000,408.500000,416.500000,222.413010,61061972
2003-02-25,414.500000,419.299988,407.500000,414.000000,221.078110,86344688
2003-02-26,411.000000,413.000000,396.600006,402.000000,216.669189,85977232
2003-02-27,402.799988,408.250000,397.000000,400.000000,215.591217,125839536
2003-02-28,399.000000,402.000000,389.250000,400.000000,215.591217,0
2003-03-03,402.000000,411.600006,400.250000,408.000000,219.903137,66200968
2003-03-04,408.000000,413.700012,406.299988,408.000000,219.903137,80314768
2003-03-05,406.250000,409.750000,403.299988,405.500000,218.555618,72898768
2003-03-06,406.000000,409.799988,402.250000,404.500000,218.016678,61378216
2003-03-07,403.000000,403.000000,391.750000,395.250000,213.031143,54388656
2003-03-10,398.000000,400.000000,391.500000,392.000000,211.279526,57309448
2003-03-11,390.000000,396.750000,389.299988,395.250000,213.031143,92913872
2003-03-12,395.299988,398.500000,370.000000,371.000000,199.960907,119675600
2003-03-13,377.000000,392.000000,370.799988,391.500000,211.009979,65705564
2003-03-14,394.799988,400.750000,386.799988,400.250000,215.726013,72429696
2003-03-17,395.000000,422.000000,388.299988,415.000000,223.676056,59065992
2003-03-18,414.500000,422.000000,404.299988,412.500000,222.328522,92415728
2003-03-19,412.250000,425.100006,409.000000,414.250000,223.271637,88328144
2003-03-20,413.000000,420.299988,408.000000,417.250000,224.888687,91187744
2003-03-21,418.500000,432.750000,418.299988,428.000000,230.682693,69602392
2003-03-24,425.000000,425.000000,415.500000,416.500000,224.484436,58028216
2003-03-25,414.799988,428.000000,411.500000,422.250000,227.583572,71594176
2003-03-26,425.000000,432.000000,418.500000,429.250000,231.356400,0
2003-03-27,426.000000,426.750000,410.250000,416.000000,224.214951,59672204
2003-03-28,419.000000,421.750000,411.000000,413.750000,223.002182,47606352
2003-03-31,411.299988,411.299988,398.000000,401.250000,216.265060,62457184
2003-04-01,404.000000,415.750000,402.100006,415.500000,223.945480,52134176
2003-04-02,416.500000,426.500000,404.250000,406.250000,218.959930,95041880
2003-04-03,405.000000,413.500000,403.500000,407.000000,219.364090,65047656
2003-04-04,406.500000,423.000000,404.500000,416.500000,224.484436,0
2003-04-07,420.000000,432.200012,420.000000,421.000000,226.909805,62715528
2003-04-08,418.000000,419.299988,408.500000,411.250000,221.654831,70462584
2003-04-09,411.000000,416.250000,408.250000,411.750000,221.924194,52779540
2003-04-10,409.750000,412.700012,403.750000,405.750000,218.690445,57621616
2003-04-11,405.500000,411.750000,404.750000,404.750000,218.151428,43412992
2003-04-14,403.500000,411.000000,403.500000,408.500000,220.172638,36391908
2003-04-15,410.500000,420.750000,410.000000,414.500000,223.406433,0
2003-04-16,418.000000,420.500000,404.399994,407.000000,219.364090,54351156
2003-04-17,405.000000,414.750000,401.750000,407.500000,219.633667,49375832
2003-04-18,407.500000,414.750000,401.750000,407.500000,219.633667,0
2003-04-21,407.500000,414.750000,401.750000,407.500000,219.633667,0
2003-04-22,412.750000,414.299988,407.500000,413.750000,223.002182,32227930
2003-04-23,422.500000,423.000000,410.000000,412.500000,222.328522,46824492
2003-04-24,410.000000,414.500000,403.250000,406.000000,218.825195,53894680
2003-04-25,408.000000,410.000000,392.000000,395.000000,212.896439,84431384
2003-04-28,395.500000,403.500000,393.500000,403.000000,217.208206,67491456
2003-04-29,406.000000,408.000000,397.000000,399.750000,215.456543,60885416
2003-04-30,398.500000,401.500000,392.700012,396.500000,213.704849,85516256
2003-05-01,397.000000,403.000000,393.799988,395.000000,212.896439,21546616
2003-05-02,397.799988,405.250000,395.500000,405.250000,218.420975,47203380
2003-05-05,405.250000,405.250000,405.250000,405.250000,218.420975,0
2003-05-06,407.799988,417.750000,405.000000,410.750000,221.385345,64961472
2003-05-07,410.500000,420.299988,408.500000,413.500000,222.867462,67133312
2003-05-08,413.000000,414.500000,405.500000,408.000000,219.903137,65043000
2003-05-09,410.000000,412.600006,402.750000,410.000000,220.981064,50073076
2003-05-12,413.000000,417.500000,409.000000,416.500000,224.484436,44653744
2003-05-13,417.250000,419.750000,411.600006,415.750000,224.080185,56142064
2003-05-14,415.500000,420.250000,406.250000,407.250000,221.604324,0
2003-05-15,410.000000,416.299988,406.250000,413.500000,225.005310,38455028
2003-05-16,415.500000,420.000000,412.500000,414.500000,225.549423,49653020
2003-05-19,412.000000,414.299988,405.000000,407.500000,221.740341,40156940
2003-05-20,406.299988,416.000000,406.250000,414.250000,225.413452,70020576
2003-05-21,412.000000,413.000000,406.000000,410.250000,223.236755,44030792
2003-05-22,416.500000,420.799988,413.000000,418.500000,227.725891,63802564
2003-05-23,414.500000,417.700012,409.500000,415.250000,225.957474,33135188
2003-05-26,415.250000,415.250000,415.250000,415.250000,225.957474,0
2003-05-27,416.500000,425.299988,408.250000,423.500000,230.446747,50812384
2003-05-28,425.500000,430.250000,423.799988,428.000000,232.895508,46902340
